dap,obs_value,depth_m,run_id,variable,obs_type,units,year,doy,valid
20,0.273582039,0.1,SC0072,swc,avg,cm3_cm3,2014,217,1
20,0.311393542,0.3,SC0072,swc,avg,cm3_cm3,2014,217,1
20,0.352769205,0.6,SC0072,swc,avg,cm3_cm3,2014,217,1
23,0.266601764,0.1,SC0072,swc,avg,cm3_cm3,2014,220,1
23,0.311941521,0.3,SC0072,swc,avg,cm3_cm3,2014,220,1
23,0.352956961,0.6,SC0072,swc,avg,cm3_cm3,2014,220,1
26,0.259889648,0.1,SC0072,swc,avg,cm3_cm3,2014,223,1
26,0.309391315,0.3,SC0072,swc,avg,cm3_cm3,2014,223,1
26,0.352594501,0.6,SC0072,swc,avg,cm3_cm3,2014,223,1
30,0.253340026,0.1,SC0072,swc,avg,cm3_cm3,2014,227,1
30,0.307496262,0.3,SC0072,swc,avg,cm3_cm3,2014,227,1
30,0.351006217,0.6,SC0072,swc,avg,cm3_cm3,2014,227,1
33,0.260337611,0.1,SC0072,swc,avg,cm3_cm3,2014,230,1
33,0.308251059,0.3,SC0072,swc,avg,cm3_cm3,2014,230,1
33,0.353265837,0.6,SC0072,swc,avg,cm3_cm3,2014,230,1
34,0.25251906,0.1,SC0072,swc,avg,cm3_cm3,2014,231,1
34,0.307242774,0.3,SC0072,swc,avg,cm3_cm3,2014,231,1
34,0.351322089,0.6,SC0072,swc,avg,cm3_cm3,2014,231,1
37,0.256214508,0.1,SC0072,swc,avg,cm3_cm3,2014,234,1
37,0.305118096,0.3,SC0072,swc,avg,cm3_cm3,2014,234,1
37,0.352081322,0.6,SC0072,swc,avg,cm3_cm3,2014,234,1
44,0.243873871,0.1,SC0072,swc,avg,cm3_cm3,2014,241,1
44,0.30135897,0.3,SC0072,swc,avg,cm3_cm3,2014,241,1
44,0.350313822,0.6,SC0072,swc,avg,cm3_cm3,2014,241,1
47,0.271122937,0.1,SC0072,swc,avg,cm3_cm3,2014,244,1
47,0.304401274,0.3,SC0072,swc,avg,cm3_cm3,2014,244,1
47,0.352142854,0.6,SC0072,swc,avg,cm3_cm3,2014,244,1
49,0.324957503,0.1,SC0072,swc,avg,cm3_cm3,2014,246,1
49,0.336181716,0.3,SC0072,swc,avg,cm3_cm3,2014,246,1
49,0.361735256,0.6,SC0072,swc,avg,cm3_cm3,2014,246,1
55,0.295843032,0.1,SC0072,swc,avg,cm3_cm3,2014,252,1
55,0.327939962,0.3,SC0072,swc,avg,cm3_cm3,2014,252,1
55,0.358727614,0.6,SC0072,swc,avg,cm3_cm3,2014,252,1
58,0.281313392,0.1,SC0072,swc,avg,cm3_cm3,2014,255,1
58,0.323946444,0.3,SC0072,swc,avg,cm3_cm3,2014,255,1
58,0.356420818,0.6,SC0072,swc,avg,cm3_cm3,2014,255,1
61,0.275954126,0.1,SC0072,swc,avg,cm3_cm3,2014,258,1
61,0.321612091,0.3,SC0072,swc,avg,cm3_cm3,2014,258,1
61,0.357576538,0.6,SC0072,swc,avg,cm3_cm3,2014,258,1
65,0.2605108,0.1,SC0072,swc,avg,cm3_cm3,2014,262,1
65,0.315202788,0.3,SC0072,swc,avg,cm3_cm3,2014,262,1
65,0.354210602,0.6,SC0072,swc,avg,cm3_cm3,2014,262,1
68,0.283412729,0.1,SC0072,swc,avg,cm3_cm3,2014,265,1
68,0.316228214,0.3,SC0072,swc,avg,cm3_cm3,2014,265,1
68,0.354095453,0.6,SC0072,swc,avg,cm3_cm3,2014,265,1
72,0.328724957,0.1,SC0072,swc,avg,cm3_cm3,2014,269,1
72,0.343818838,0.3,SC0072,swc,avg,cm3_cm3,2014,269,1
72,0.366290685,0.6,SC0072,swc,avg,cm3_cm3,2014,269,1
78,0.308185208,0.1,SC0072,swc,avg,cm3_cm3,2014,275,1
78,0.350348874,0.3,SC0072,swc,avg,cm3_cm3,2014,275,1
78,0.384886366,0.6,SC0072,swc,avg,cm3_cm3,2014,275,1
83,0.293840353,0.1,SC0072,swc,avg,cm3_cm3,2014,280,1
83,0.338466548,0.3,SC0072,swc,avg,cm3_cm3,2014,280,1
83,0.377045518,0.6,SC0072,swc,avg,cm3_cm3,2014,280,1
86,0.282583472,0.1,SC0072,swc,avg,cm3_cm3,2014,283,1
86,0.334303625,0.3,SC0072,swc,avg,cm3_cm3,2014,283,1
86,0.372119782,0.6,SC0072,swc,avg,cm3_cm3,2014,283,1
91,0.255547658,0.1,SC0072,swc,avg,cm3_cm3,2014,288,1
91,0.31412928,0.3,SC0072,swc,avg,cm3_cm3,2014,288,1
91,0.356052334,0.6,SC0072,swc,avg,cm3_cm3,2014,288,1
93,0.250833772,0.1,SC0072,swc,avg,cm3_cm3,2014,290,1
93,0.311117601,0.3,SC0072,swc,avg,cm3_cm3,2014,290,1
93,0.356372674,0.6,SC0072,swc,avg,cm3_cm3,2014,290,1
97,0.250915597,0.1,SC0072,swc,avg,cm3_cm3,2014,294,1
97,0.30556139,0.3,SC0072,swc,avg,cm3_cm3,2014,294,1
97,0.35489386,0.6,SC0072,swc,avg,cm3_cm3,2014,294,1
100,0.242469496,0.1,SC0072,swc,avg,cm3_cm3,2014,297,1
100,0.296531734,0.3,SC0072,swc,avg,cm3_cm3,2014,297,1
100,0.346483151,0.6,SC0072,swc,avg,cm3_cm3,2014,297,1
107,0.247229783,0.1,SC0072,swc,avg,cm3_cm3,2014,304,1
107,0.291594498,0.3,SC0072,swc,avg,cm3_cm3,2014,304,1
107,0.336277611,0.6,SC0072,swc,avg,cm3_cm3,2014,304,1
110,0.322457973,0.1,SC0072,swc,avg,cm3_cm3,2014,307,1
110,0.350898116,0.3,SC0072,swc,avg,cm3_cm3,2014,307,1
110,0.370728546,0.6,SC0072,swc,avg,cm3_cm3,2014,307,1
112,0.332062768,0.1,SC0072,swc,avg,cm3_cm3,2014,309,1
112,0.369635465,0.3,SC0072,swc,avg,cm3_cm3,2014,309,1
112,0.403760904,0.6,SC0072,swc,avg,cm3_cm3,2014,309,1
