time,year,month,lat,lon,lw_down,sw_down,t,wind,q,pstar,Rainf_GPCC,precip,date_time_utc,date_time_local,cosz,diff_rad
0,2003,1,-22.698538,-47.642881,408.98428,9.310421067,299.5547209,1.268129436,0.020016014,94480.05829,0,0,01/01/2003 0:00,12/31/2004 21:00,0,9.310421067
10800,2003,1,-22.698538,-47.642881,390.31216,0,298.0338201,0.79758253,0.017312433,94504.23423,0,0,01/01/2003 3:00,01/01/2003 0:00,0,0
21600,2003,1,-22.698538,-47.642881,381.69373,0,295.1571366,0.633365374,0.015111287,94363.01377,0,0,01/01/2003 6:00,01/01/2003 3:00,0,0
32400,2003,1,-22.698538,-47.642881,387.3701,1.840221049,293.9266977,0.455834838,0.014180201,94399.61993,0,0,01/01/2003 9:00,01/01/2003 6:00,0.111755145,1.840221049
43200,2003,1,-22.698538,-47.642881,427.93448,304.418959,300.1108369,0.677093024,0.01775335,94556.29181,9.62E-05,0.000509361,01/01/2003 12:00,01/01/2003 9:00,0.722972217,274.635673
54000,2003,1,-22.698538,-47.642881,437.99832,843.4536718,303.4369205,0.923011976,0.019119409,94545.06019,0.000236,0.001249314,01/01/2003 15:00,01/01/2003 12:00,0.99908103,504.4364273
64800,2003,1,-22.698538,-47.642881,439.13016,809.1279438,303.9346401,1.015202887,0.020245704,94409.63253,0.000460059,0.002435421,01/01/2003 18:00,01/01/2003 15:00,0.778340786,325.1063817
75600,2003,1,-22.698538,-47.642881,426.75583,336.397663,302.6768832,1.248914551,0.019368223,94331.79772,0.000171439,0.000907553,01/01/2003 21:00,01/01/2003 18:00,0.190058126,125.5061312
86400,2003,1,-22.698538,-47.642881,391.13962,10.78269504,298.9230649,1.248994819,0.016449377,94490.34982,0,0,01/02/2003 0:00,01/01/2003 21:00,0,10.78269504
97200,2003,1,-22.698538,-47.642881,379.1387,0,294.7068812,1.071363319,0.016104882,94530.30823,0,0,01/02/2003 3:00,01/02/2003 0:00,0,0
108000,2003,1,-22.698538,-47.642881,373.82224,0,292.2611851,0.921738016,0.01438596,94431.51705,0,0,01/02/2003 6:00,01/02/2003 3:00,0,0
118800,2003,1,-22.698538,-47.642881,372.76736,1.363498544,290.7225548,0.871928558,0.01334936,94487.77742,0,0,01/02/2003 9:00,01/02/2003 6:00,0.111240099,1.363498544
129600,2003,1,-22.698538,-47.642881,388.85678,334.544166,299.3200895,0.855749136,0.018455288,94671.02378,5.44E-05,0,01/02/2003 12:00,01/02/2003 9:00,0.722816294,262.4271705
140400,2003,1,-22.698538,-47.642881,412.68616,798.0779827,301.7332524,0.493404041,0.019495707,94658.41366,0.000114233,0,01/02/2003 15:00,01/02/2003 12:00,0.999087336,351.4672794
151200,2003,1,-22.698538,-47.642881,433.4857,756.1354269,304.9411264,0.807067373,0.021789275,94426.82454,0.000147133,0,01/02/2003 18:00,01/02/2003 15:00,0.778217395,68.64370087
162000,2003,1,-22.698538,-47.642881,431.87543,367.0012208,304.9068314,0.943762323,0.021009847,94374.18794,0,0,01/02/2003 21:00,01/02/2003 18:00,0.189589088,137.3229021
172800,2003,1,-22.698538,-47.642881,407.722,8.556331979,300.3680791,0.906987234,0.018856971,94579.94739,0,0,01/03/2003 0:00,01/02/2003 21:00,0,8.556331979
183600,2003,1,-22.698538,-47.642881,376.39938,0,296.4110972,0.660716288,0.017243734,94611.3041,0,0,01/03/2003 3:00,01/03/2003 0:00,0,0
194400,2003,1,-22.698538,-47.642881,364.63467,0,294.2350075,0.52908071,0.01566939,94416.90678,0,0,01/03/2003 6:00,01/03/2003 3:00,0,0
205200,2003,1,-22.698538,-47.642881,357.9012,2.855305326,292.5013455,0.521363885,0.014422786,94430.80082,0,0,01/03/2003 9:00,01/03/2003 6:00,0.11068069,2.855305326
216000,2003,1,-22.698538,-47.642881,400.4965,438.7891128,300.9316706,0.84221696,0.020367033,94606.27658,9.35E-05,0,01/03/2003 12:00,01/03/2003 9:00,0.722645444,348.3936244
226800,2003,1,-22.698538,-47.642881,424.4858,831.152702,301.8870293,0.892402715,0.02209149,94597.87749,0.00038056,0,01/03/2003 15:00,01/03/2003 12:00,0.999092012,534.0023153
237600,2003,1,-22.698538,-47.642881,422.60275,709.2434815,299.179473,0.582573536,0.021115384,94391.83981,0.0003223,0,01/03/2003 18:00,01/03/2003 15:00,0.778081744,403.7397561
248400,2003,1,-22.698538,-47.642881,420.23163,197.5273135,296.952428,0.587836258,0.018981059,94334.57684,0.0001747,0,01/03/2003 21:00,01/03/2003 18:00,0.189079457,74.04279369
259200,2003,1,-22.698538,-47.642881,420.15546,2.437420894,296.5419489,0.439809648,0.018907316,94450.41759,0.000188261,0,01/04/2003 0:00,01/03/2003 21:00,0,2.437420894
270000,2003,1,-22.698538,-47.642881,423.3995,0,295.461619,0.31226159,0.017959122,94446.63747,0.000262868,6.43E-05,01/04/2003 3:00,01/04/2003 0:00,0,0
280800,2003,1,-22.698538,-47.642881,421.7158,0,294.098889,0.520412979,0.016696299,94269.84969,0.00021639,5.29E-05,01/04/2003 6:00,01/04/2003 3:00,0,0
291600,2003,1,-22.698538,-47.642881,418.8919,0.391552044,293.514714,0.564701172,0.015932693,94304.11933,8.42E-05,2.06E-05,01/04/2003 9:00,01/04/2003 6:00,0.110077026,0.391552044
302400,2003,1,-22.698538,-47.642881,421.00742,67.99361803,294.1723876,0.554291364,0.016651162,94412.5021,0.000271851,6.65E-05,01/04/2003 12:00,01/04/2003 9:00,0.722459332,67.99361803
313200,2003,1,-22.698538,-47.642881,435.71594,720.1603855,295.7142939,0.436442785,0.018122092,94335.38024,0.000360694,8.82E-05,01/04/2003 15:00,01/04/2003 12:00,0.999094523,655.3395842
