variable,temp_var,type,array,array_id,prec,n_nl,val
b,<b_layer1>,real,F,1,4,0,10.3879
b,<b_layer2>,real,F,1,4,0,10.3879
b,<b_layer3>,real,F,1,4,0,10.8743
b,<b_layer4>,real,F,1,4,0,10.8678
b,<b_layer5>,real,F,1,4,0,11.5094
b,<b_layer6>,real,F,1,4,0,11.5094
b,<b_layer7>,real,F,1,4,0,11.2568
b,<b_layer8>,real,F,1,4,0,11.2568
b,<b_layer9>,real,F,1,4,0,11.3043
b,<b_layer10>,real,F,1,4,0,11.3043
b,<b_layer11>,real,F,1,4,0,11.3043
b,<b_layer12>,real,F,1,4,0,11.2566
b,<b_layer13>,real,F,1,4,0,10.4704
b,<b_layer14>,real,F,1,4,0,9.8134
b,<b_layer15>,real,F,1,4,0,9.8134
hcap,<hcap_layer1>,real,F,1,4,0,1270907.46
hcap,<hcap_layer2>,real,F,1,4,0,1270907.46
hcap,<hcap_layer3>,real,F,1,4,0,1270907.46
hcap,<hcap_layer4>,real,F,1,4,0,1270907.46
hcap,<hcap_layer5>,real,F,1,4,0,1270907.46
hcap,<hcap_layer6>,real,F,1,4,0,1270907.46
hcap,<hcap_layer7>,real,F,1,4,0,1270907.46
hcap,<hcap_layer8>,real,F,1,4,0,1270907.46
hcap,<hcap_layer9>,real,F,1,4,0,1270907.46
hcap,<hcap_layer10>,real,F,1,4,0,1270907.46
hcap,<hcap_layer11>,real,F,1,4,0,1270907.46
hcap,<hcap_layer12>,real,F,1,4,0,1270907.46
hcap,<hcap_layer13>,real,F,1,4,0,1270907.46
hcap,<hcap_layer14>,real,F,1,4,0,1270907.46
hcap,<hcap_layer15>,real,F,1,4,0,1270907.46
sm_wilt,<sm_wilt_layer1>,real,F,1,4,0,0.2476
sm_wilt,<sm_wilt_layer2>,real,F,1,4,0,0.2476
sm_wilt,<sm_wilt_layer3>,real,F,1,4,0,0.2544
sm_wilt,<sm_wilt_layer4>,real,F,1,4,0,0.2398
sm_wilt,<sm_wilt_layer5>,real,F,1,4,0,0.2548
sm_wilt,<sm_wilt_layer6>,real,F,1,4,0,0.2548
sm_wilt,<sm_wilt_layer7>,real,F,1,4,0,0.2531
sm_wilt,<sm_wilt_layer8>,real,F,1,4,0,0.2531
sm_wilt,<sm_wilt_layer9>,real,F,1,4,0,0.2579
sm_wilt,<sm_wilt_layer10>,real,F,1,4,0,0.2579
sm_wilt,<sm_wilt_layer11>,real,F,1,4,0,0.2579
sm_wilt,<sm_wilt_layer12>,real,F,1,4,0,0.2548
sm_wilt,<sm_wilt_layer13>,real,F,1,4,0,0.2415
sm_wilt,<sm_wilt_layer14>,real,F,1,4,0,0.2282
sm_wilt,<sm_wilt_layer15>,real,F,1,4,0,0.2282
hcon,<hcon_layer1>,real,F,1,4,0,0.2391
hcon,<hcon_layer2>,real,F,1,4,0,0.2391
hcon,<hcon_layer3>,real,F,1,4,0,0.2391
hcon,<hcon_layer4>,real,F,1,4,0,0.2391
hcon,<hcon_layer5>,real,F,1,4,0,0.2391
hcon,<hcon_layer6>,real,F,1,4,0,0.2391
hcon,<hcon_layer7>,real,F,1,4,0,0.2391
hcon,<hcon_layer8>,real,F,1,4,0,0.2391
hcon,<hcon_layer9>,real,F,1,4,0,0.2391
hcon,<hcon_layer10>,real,F,1,4,0,0.2391
hcon,<hcon_layer11>,real,F,1,4,0,0.2391
hcon,<hcon_layer12>,real,F,1,4,0,0.2391
hcon,<hcon_layer13>,real,F,1,4,0,0.2391
hcon,<hcon_layer14>,real,F,1,4,0,0.2391
hcon,<hcon_layer15>,real,F,1,4,0,0.2391
sm_crit,<sm_crit_layer1>,real,F,1,4,0,0.3087
sm_crit,<sm_crit_layer2>,real,F,1,4,0,0.3087
