"variable","temp_var","type","array","array_id","prec","n_nl","val"
"b","<b_layer1>","real","F",1,4,0,14.45052982
"b","<b_layer2>","real","F",1,4,0,14.45052982
"b","<b_layer3>","real","F",1,4,0,20.73527438
"b","<b_layer4>","real","F",1,4,0,20.73527438
"b","<b_layer5>","real","F",1,4,0,26.04067853
"b","<b_layer6>","real","F",1,4,0,26.04067853
"b","<b_layer7>","real","F",1,4,0,15.20972363
"b","<b_layer8>","real","F",1,4,0,15.20972363
"b","<b_layer9>","real","F",1,4,0,15.20972363
"b","<b_layer10>","real","F",1,4,0,15.20972363
"b","<b_layer11>","real","F",1,4,0,15.20972363
"b","<b_layer12>","real","F",1,4,0,15.20972363
"b","<b_layer13>","real","F",1,4,0,15.20972363
"b","<b_layer14>","real","F",1,4,0,15.20972363
"b","<b_layer15>","real","F",1,4,0,15.20972363
"hcap","<hcap_layer1>","real","F",1,4,0,1432320.737
"hcap","<hcap_layer2>","real","F",1,4,0,1432320.737
"hcap","<hcap_layer3>","real","F",1,4,0,1329404.15
"hcap","<hcap_layer4>","real","F",1,4,0,1329404.15
"hcap","<hcap_layer5>","real","F",1,4,0,1286704.234
"hcap","<hcap_layer6>","real","F",1,4,0,1286704.234
"hcap","<hcap_layer7>","real","F",1,4,0,1223778.04
"hcap","<hcap_layer8>","real","F",1,4,0,1223778.04
"hcap","<hcap_layer9>","real","F",1,4,0,1223778.04
"hcap","<hcap_layer10>","real","F",1,4,0,1223778.04
"hcap","<hcap_layer11>","real","F",1,4,0,1223778.04
"hcap","<hcap_layer12>","real","F",1,4,0,1223778.04
"hcap","<hcap_layer13>","real","F",1,4,0,1223778.04
"hcap","<hcap_layer14>","real","F",1,4,0,1223778.04
"hcap","<hcap_layer15>","real","F",1,4,0,1223778.04
"sm_wilt","<sm_wilt_layer1>","real","F",1,4,0,0.210904108
"sm_wilt","<sm_wilt_layer2>","real","F",1,4,0,0.210904108
"sm_wilt","<sm_wilt_layer3>","real","F",1,4,0,0.274548536
"sm_wilt","<sm_wilt_layer4>","real","F",1,4,0,0.274548536
"sm_wilt","<sm_wilt_layer5>","real","F",1,4,0,0.325056165
"sm_wilt","<sm_wilt_layer6>","real","F",1,4,0,0.325056165
"sm_wilt","<sm_wilt_layer7>","real","F",1,4,0,0.293117264
"sm_wilt","<sm_wilt_layer8>","real","F",1,4,0,0.293117264
"sm_wilt","<sm_wilt_layer9>","real","F",1,4,0,0.293117264
"sm_wilt","<sm_wilt_layer10>","real","F",1,4,0,0.293117264
"sm_wilt","<sm_wilt_layer11>","real","F",1,4,0,0.293117264
"sm_wilt","<sm_wilt_layer12>","real","F",1,4,0,0.293117264
"sm_wilt","<sm_wilt_layer13>","real","F",1,4,0,0.293117264
"sm_wilt","<sm_wilt_layer14>","real","F",1,4,0,0.293117264
"sm_wilt","<sm_wilt_layer15>","real","F",1,4,0,0.293117264
"hcon","<hcon_layer1>","real","F",1,4,0,1.635338026
"hcon","<hcon_layer2>","real","F",1,4,0,1.635338026
"hcon","<hcon_layer3>","real","F",1,4,0,1.480721854
"hcon","<hcon_layer4>","real","F",1,4,0,1.480721854
"hcon","<hcon_layer5>","real","F",1,4,0,1.412410692
"hcon","<hcon_layer6>","real","F",1,4,0,1.412410692
"hcon","<hcon_layer7>","real","F",1,4,0,1.316800028
"hcon","<hcon_layer8>","real","F",1,4,0,1.316800028
"hcon","<hcon_layer9>","real","F",1,4,0,1.316800028
"hcon","<hcon_layer10>","real","F",1,4,0,1.316800028
"hcon","<hcon_layer11>","real","F",1,4,0,1.316800028
"hcon","<hcon_layer12>","real","F",1,4,0,1.316800028
"hcon","<hcon_layer13>","real","F",1,4,0,1.316800028
"hcon","<hcon_layer14>","real","F",1,4,0,1.316800028
"hcon","<hcon_layer15>","real","F",1,4,0,1.316800028
"sm_crit","<sm_crit_layer1>","real","F",1,4,0,0.284415284
"sm_crit","<sm_crit_layer2>","real","F",1,4,0,0.284415284
"sm_crit","<sm_crit_layer3>","real","F",1,4,0,0.347937033
"sm_crit","<sm_crit_layer4>","real","F",1,4,0,0.347937033
"sm_crit","<sm_crit_layer5>","real","F",1,4,0,0.395021326
"sm_crit","<sm_crit_layer6>","real","F",1,4,0,0.395021326
"sm_crit","<sm_crit_layer7>","real","F",1,4,0,0.370706922
"sm_crit","<sm_crit_layer8>","real","F",1,4,0,0.370706922
"sm_crit","<sm_crit_layer9>","real","F",1,4,0,0.370706922
"sm_crit","<sm_crit_layer10>","real","F",1,4,0,0.370706922
"sm_crit","<sm_crit_layer11>","real","F",1,4,0,0.370706922
"sm_crit","<sm_crit_layer12>","real","F",1,4,0,0.370706922
"sm_crit","<sm_crit_layer13>","real","F",1,4,0,0.370706922
"sm_crit","<sm_crit_layer14>","real","F",1,4,0,0.370706922
"sm_crit","<sm_crit_layer15>","real","F",1,4,0,0.370706922
"satcon","<satcon_layer1>","real","F",1,4,0,0.003763889
"satcon","<satcon_layer2>","real","F",1,4,0,0.003763889
"satcon","<satcon_layer3>","real","F",1,4,0,0.002041667
"satcon","<satcon_layer4>","real","F",1,4,0,0.002041667
"satcon","<satcon_layer5>","real","F",1,4,0,0.000583333
"satcon","<satcon_layer6>","real","F",1,4,0,0.000583333
"satcon","<satcon_layer7>","real","F",1,4,0,0.000583333
"satcon","<satcon_layer8>","real","F",1,4,0,0.000583333
"satcon","<satcon_layer9>","real","F",1,4,0,0.000583333
"satcon","<satcon_layer10>","real","F",1,4,0,0.000583333
"satcon","<satcon_layer11>","real","F",1,4,0,0.000583333
"satcon","<satcon_layer12>","real","F",1,4,0,0.000583333
"satcon","<satcon_layer13>","real","F",1,4,0,0.000583333
"satcon","<satcon_layer14>","real","F",1,4,0,0.000583333
"satcon","<satcon_layer15>","real","F",1,4,0,0.000583333
